system:index,ACRES,CNTY,endyear,orch_id,orchard_bsi_fill,orchard_bsi_mean,orchard_bsi_stddev,orchard_savi_fill,orchard_savi_mean,orchard_savi_stddev,period_end_date,period_start_date,season,stability_score,startyear,time_period,.geo
0_005c0000000000003c6d,20.88,Kern,2023,005c0000000000003c6d,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c79,176.85,Kern,2023,005c0000000000003c79,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c88,5.21,Kern,2023,005c0000000000003c88,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c8e,4.24,Kern,2023,005c0000000000003c8e,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c94,10.4,Kern,2023,005c0000000000003c94,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c96,6.04,Kern,2023,005c0000000000003c96,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003d00,75.9,Kern,2023,005c0000000000003d00,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003d15,5.4,Kern,2023,005c0000000000003d15,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003d18,72.64,Kern,2023,005c0000000000003d18,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003d1b,7.52,Kern,2023,005c0000000000003d1b,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003d3a,2.57,Kern,2023,005c0000000000003d3a,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003d3b,4.08,Kern,2023,005c0000000000003d3b,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003d40,58.6,Kern,2023,005c0000000000003d40,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003d5e,9.39,Kern,2023,005c0000000000003d5e,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003d6e,9.37,Kern,2023,005c0000000000003d6e,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003d7d,4.24,Kern,2023,005c0000000000003d7d,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003d84,89.76,Kern,2023,005c0000000000003d84,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003d85,3.61,Kern,2023,005c0000000000003d85,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003d89,3.75,Kern,2023,005c0000000000003d89,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003d8e,4.07,Kern,2023,005c0000000000003d8e,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003d90,6.37,Kern,2023,005c0000000000003d90,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003d91,19.69,Kern,2023,005c0000000000003d91,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003d92,17.12,Kern,2023,005c0000000000003d92,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003d93,14.87,Kern,2023,005c0000000000003d93,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003d97,7.58,Kern,2023,005c0000000000003d97,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003d98,2.82,Kern,2023,005c0000000000003d98,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003d99,5.25,Kern,2023,005c0000000000003d99,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003da1,6.67,Kern,2023,005c0000000000003da1,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003da5,6.43,Kern,2023,005c0000000000003da5,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003da6,3.62,Kern,2023,005c0000000000003da6,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003da8,2.07,Kern,2023,005c0000000000003da8,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003da9,10.35,Kern,2023,005c0000000000003da9,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003dad,3.85,Kern,2023,005c0000000000003dad,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003daf,3.84,Kern,2023,005c0000000000003daf,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003db1,4.11,Kern,2023,005c0000000000003db1,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003db2,25.57,Kern,2023,005c0000000000003db2,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003dbd,28.59,Kern,2023,005c0000000000003dbd,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003dbe,8.51,Kern,2023,005c0000000000003dbe,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003dbf,30.38,Kern,2023,005c0000000000003dbf,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003dc1,3.27,Kern,2023,005c0000000000003dc1,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003dcc,12.09,Kern,2023,005c0000000000003dcc,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003e02,73.99,Kern,2023,005c0000000000003e02,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003e0a,8.54,Kern,2023,005c0000000000003e0a,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003e3e,48.15,Kern,2023,005c0000000000003e3e,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003e40,152.04,Kern,2023,005c0000000000003e40,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003e44,65.29,Kern,2023,005c0000000000003e44,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003f91,5.18,Kern,2023,005c0000000000003f91,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003f92,5.06,Kern,2023,005c0000000000003f92,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003f93,12.52,Kern,2023,005c0000000000003f93,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003f95,5.01,Kern,2023,005c0000000000003f95,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003f9b,34.44,Kern,2023,005c0000000000003f9b,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003fb5,32.49,Kern,2023,005c0000000000003fb5,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003fe6,37.12,Kern,2023,005c0000000000003fe6,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c000000000000407c,26.37,Kern,2023,005c000000000000407c,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003d37,7.98,Kern,2023,005c0000000000003d37,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c9d,4.87,Kern,2023,005c0000000000003c9d,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003ca1,3.0,Kern,2023,005c0000000000003ca1,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000004037,36.15,Kern,2023,005c0000000000004037,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000004077,3.15,Kern,2023,005c0000000000004077,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c000000000000408b,3.48,Kern,2023,005c000000000000408b,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003e38,7.04,Kern,2023,005c0000000000003e38,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003f7b,30.82,Kern,2023,005c0000000000003f7b,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003f7c,25.11,Kern,2023,005c0000000000003f7c,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003fb4,22.19,Kern,2023,005c0000000000003fb4,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003dd8,5.53,Kern,2023,005c0000000000003dd8,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003ddd,39.69,Kern,2023,005c0000000000003ddd,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003fd6,2.97,Kern,2023,005c0000000000003fd6,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003fd7,5.43,Kern,2023,005c0000000000003fd7,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003fdd,7.2,Kern,2023,005c0000000000003fdd,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003fde,12.41,Kern,2023,005c0000000000003fde,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003fdf,4.23,Kern,2023,005c0000000000003fdf,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003dd6,5.13,Kern,2023,005c0000000000003dd6,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003dd7,4.95,Kern,2023,005c0000000000003dd7,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000004185,4.77,Kern,2023,005c0000000000004185,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c55,10.93,Kern,2023,005c0000000000003c55,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003e08,30.45,Kern,2023,005c0000000000003e08,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003e3b,80.77,Kern,2023,005c0000000000003e3b,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003fa5,32.92,Kern,2023,005c0000000000003fa5,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003dea,4.26,Kern,2023,005c0000000000003dea,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003def,5.11,Kern,2023,005c0000000000003def,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003f7a,11.36,Kern,2023,005c0000000000003f7a,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c00000000000036d2,2.62,Kern,2023,005c00000000000036d2,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003bac,4.44,Kern,2023,005c0000000000003bac,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003bad,18.41,Kern,2023,005c0000000000003bad,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003bae,4.75,Kern,2023,005c0000000000003bae,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003bb0,2.47,Kern,2023,005c0000000000003bb0,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003bb8,6.98,Kern,2023,005c0000000000003bb8,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003bba,12.07,Kern,2023,005c0000000000003bba,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003bc8,8.12,Kern,2023,005c0000000000003bc8,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003bc9,7.8,Kern,2023,005c0000000000003bc9,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003bcb,20.2,Kern,2023,005c0000000000003bcb,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003beb,4.37,Kern,2023,005c0000000000003beb,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c20,126.64,Kern,2023,005c0000000000003c20,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,8.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c21,27.41,Kern,2023,005c0000000000003c21,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,8.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c22,109.54,Kern,2023,005c0000000000003c22,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,8.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c23,126.96,Kern,2023,005c0000000000003c23,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,8.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c24,300.29,Kern,2023,005c0000000000003c24,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,8.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c25,46.08,Kern,2023,005c0000000000003c25,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,8.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c26,165.5,Kern,2023,005c0000000000003c26,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,8.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c27,124.29,Kern,2023,005c0000000000003c27,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,8.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c28,8.26,Kern,2023,005c0000000000003c28,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c29,5.89,Kern,2023,005c0000000000003c29,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c2a,95.51,Kern,2023,005c0000000000003c2a,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,8.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c2b,48.37,Kern,2023,005c0000000000003c2b,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,8.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c2c,148.03,Kern,2023,005c0000000000003c2c,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,8.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c2e,15.5,Kern,2023,005c0000000000003c2e,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c30,18.02,Kern,2023,005c0000000000003c30,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c35,11.32,Kern,2023,005c0000000000003c35,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c36,16.98,Kern,2023,005c0000000000003c36,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c37,22.25,Kern,2023,005c0000000000003c37,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c38,8.8,Kern,2023,005c0000000000003c38,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c39,5.69,Kern,2023,005c0000000000003c39,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c3a,13.11,Kern,2023,005c0000000000003c3a,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c3b,20.61,Kern,2023,005c0000000000003c3b,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,8.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c3c,6.79,Kern,2023,005c0000000000003c3c,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c3d,78.46,Kern,2023,005c0000000000003c3d,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,8.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c3e,155.43,Kern,2023,005c0000000000003c3e,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,8.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c3f,65.31,Kern,2023,005c0000000000003c3f,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,8.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c40,26.91,Kern,2023,005c0000000000003c40,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,7.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c41,5.49,Kern,2023,005c0000000000003c41,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,8.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_005c0000000000003c42,19.44,Kern,2023,005c0000000000003c42,0,0,0,0,0,0,2017-11-30,2017-11-16,2017_2018,8.0,2016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
